fill	ymin	ymax	x	group	showSelectedlegendsizefill	PANEL	colour
#FF0000	-1.66658275150272	-1.58900968713705	1	1	featureless	1	#FF0000
#00BFFF	-1.66658275150272	-1.58900968713705	1	2	rpart	1	#00BFFF
#FF0000	-1.66692171927077	-1.57956478922184	1.25527250510331	1	featureless	1	#FF0000
#00BFFF	-1.66692171927077	-1.57956478922184	1.25527250510331	2	rpart	1	#00BFFF
#FF0000	-1.66893455785645	-1.5855128695099	1.50514997831991	1	featureless	1	#FF0000
#00BFFF	-1.64817873976277	-1.49503408857214	1.50514997831991	2	rpart	1	#00BFFF
#FF0000	-1.67701860448486	-1.58967439366641	1.7481880270062	1	featureless	1	#FF0000
#00BFFF	-1.65123027249329	-1.5138693757783	1.7481880270062	2	rpart	1	#00BFFF
#FF0000	-1.68038546360803	-1.59078856230516	2	1	featureless	1	#FF0000
#00BFFF	-1.62942807624403	-1.53312453614289	2	2	rpart	1	#00BFFF
#FF0000	-1.67918846953046	-1.59337495693826	2.25042000230889	1	featureless	1	#FF0000
#00BFFF	-1.6179180150983	-1.53070383573025	2.25042000230889	2	rpart	1	#00BFFF
#FF0000	-1.6771305571391	-1.59368600708824	2.4996870826184	1	featureless	1	#FF0000
#00BFFF	-1.63490414984153	-1.57618746605362	2.4996870826184	2	rpart	1	#00BFFF
#FF0000	-1.67787752560568	-1.59351427229166	2.74973631556906	1	featureless	1	#FF0000
#00BFFF	-1.65213485113139	-1.57977016755313	2.74973631556906	2	rpart	1	#00BFFF
#FF0000	-1.67667100594387	-1.59357530187782	3	1	featureless	1	#FF0000
#00BFFF	-1.67667100594387	-1.59357530187782	3	2	rpart	1	#00BFFF
#FF0000	-1.69619083471828	-1.5907271382812	1	1	featureless	2	#FF0000
#00BFFF	-1.69619083471828	-1.5907271382812	1	2	rpart	2	#00BFFF
#FF0000	-1.70449895086321	-1.59656994292847	1.25527250510331	1	featureless	2	#FF0000
#00BFFF	-1.70449895086321	-1.59656994292847	1.25527250510331	2	rpart	2	#00BFFF
#FF0000	-1.70222473685458	-1.59171082119543	1.50514997831991	1	featureless	2	#FF0000
#00BFFF	-1.66571863890415	-1.5643876022111	1.50514997831991	2	rpart	2	#00BFFF
#FF0000	-1.70149465541662	-1.58882788511084	1.7481880270062	1	featureless	2	#FF0000
#00BFFF	-1.62607550537932	-1.55504784185117	1.7481880270062	2	rpart	2	#00BFFF
#FF0000	-1.70063408133861	-1.5829686788635	2	1	featureless	2	#FF0000
#00BFFF	-1.60864967468621	-1.49053209665305	2	2	rpart	2	#00BFFF
#FF0000	-1.70264695939987	-1.59013882640555	2.25042000230889	1	featureless	2	#FF0000
#00BFFF	-1.62683017081142	-1.54040265589968	2.25042000230889	2	rpart	2	#00BFFF
#FF0000	-1.7044334721217	-1.5927782816474	2.4996870826184	1	featureless	2	#FF0000
#00BFFF	-1.64150460743736	-1.58239739739467	2.4996870826184	2	rpart	2	#00BFFF
#FF0000	-1.70311760049023	-1.59433291784703	2.74973631556906	1	featureless	2	#FF0000
#00BFFF	-1.69773794629365	-1.59159704868297	2.74973631556906	2	rpart	2	#00BFFF
#FF0000	-1.70353567026324	-1.59437880327271	3	1	featureless	2	#FF0000
#00BFFF	-1.70353567026324	-1.59437880327271	3	2	rpart	2	#00BFFF
#FF0000	-1.57295024987905	-1.42448066904022	1	1	featureless	3	#FF0000
#00BFFF	-1.57295024987905	-1.42448066904022	1	2	rpart	3	#00BFFF
#FF0000	-1.58723099788644	-1.51761058711727	1.25527250510331	1	featureless	3	#FF0000
#00BFFF	-1.58723099788644	-1.51761058711727	1.25527250510331	2	rpart	3	#00BFFF
#FF0000	-1.58788849037067	-1.51556816929794	1.50514997831991	1	featureless	3	#FF0000
#00BFFF	-1.55015369455592	-1.39293377907169	1.50514997831991	2	rpart	3	#00BFFF
#FF0000	-1.58330371957547	-1.51745442608232	1.7481880270062	1	featureless	3	#FF0000
#00BFFF	-1.54263694156622	-1.41491515991325	1.7481880270062	2	rpart	3	#00BFFF
#FF0000	-1.5897413744867	-1.52592157846829	2	1	featureless	3	#FF0000
#00BFFF	-1.51201517808763	-1.44913671240033	2	2	rpart	3	#00BFFF
#FF0000	-1.60305324285072	-1.53533959200222	2.25042000230889	1	featureless	3	#FF0000
#00BFFF	-1.53519738345851	-1.40581284507823	2.25042000230889	2	rpart	3	#00BFFF
#FF0000	-1.60055274407225	-1.53562869576606	2.4996870826184	1	featureless	3	#FF0000
#00BFFF	-1.56326033742141	-1.51353094060748	2.4996870826184	2	rpart	3	#00BFFF
#FF0000	-1.60672602810444	-1.53517493428237	2.74973631556906	1	featureless	3	#FF0000
#00BFFF	-1.59838047141303	-1.5294215114647	2.74973631556906	2	rpart	3	#00BFFF
#FF0000	-1.60755431337099	-1.5348702694544	3	1	featureless	3	#FF0000
#00BFFF	-1.60755431337099	-1.5348702694544	3	2	rpart	3	#00BFFF
#FF0000	-1.47185973203524	-1.40938540392585	1	1	featureless	4	#FF0000
#00BFFF	-1.47185973203524	-1.40938540392585	1	2	rpart	4	#00BFFF
#FF0000	-1.47164655043447	-1.40933107140923	1.25527250510331	1	featureless	4	#FF0000
#00BFFF	-1.47164655043447	-1.40933107140923	1.25527250510331	2	rpart	4	#00BFFF
#FF0000	-1.47425556211496	-1.41256326126726	1.50514997831991	1	featureless	4	#FF0000
#00BFFF	-1.49437737217434	-1.41219559159832	1.50514997831991	2	rpart	4	#00BFFF
#FF0000	-1.47377106424814	-1.41309906829379	1.7481880270062	1	featureless	4	#FF0000
#00BFFF	-1.66829739562687	-1.55353640095464	1.7481880270062	2	rpart	4	#00BFFF
#FF0000	-1.47350578996515	-1.41615649620437	2	1	featureless	4	#FF0000
#00BFFF	-1.81170319894384	-1.7401541265939	2	2	rpart	4	#00BFFF
#FF0000	-1.47444562623532	-1.41769708322275	2.25042000230889	1	featureless	4	#FF0000
#00BFFF	-1.86673268416722	-1.81187876882914	2.25042000230889	2	rpart	4	#00BFFF
#FF0000	-1.47357115007047	-1.41750122927009	2.4996870826184	1	featureless	4	#FF0000
#00BFFF	-1.93404279292469	-1.85809726326938	2.4996870826184	2	rpart	4	#00BFFF
#FF0000	-1.47337984191909	-1.41774025766945	2.74973631556906	1	featureless	4	#FF0000
#00BFFF	-1.93509491673802	-1.85383171679312	2.74973631556906	2	rpart	4	#00BFFF
#FF0000	-1.47310082386342	-1.41741061040755	3	1	featureless	4	#FF0000
#00BFFF	-1.95062196941626	-1.88248250993622	3	2	rpart	4	#00BFFF
#FF0000	-1.53951031331438	-1.491661765246	1	1	featureless	5	#FF0000
#00BFFF	-1.53951031331438	-1.491661765246	1	2	rpart	5	#00BFFF
#FF0000	-1.54612360744298	-1.47932459010126	1.25527250510331	1	featureless	5	#FF0000
#00BFFF	-1.54612360744298	-1.47932459010126	1.25527250510331	2	rpart	5	#00BFFF
#FF0000	-1.55476053896028	-1.48177029638127	1.50514997831991	1	featureless	5	#FF0000
#00BFFF	-1.49765572937756	-1.43430558559044	1.50514997831991	2	rpart	5	#00BFFF
#FF0000	-1.5486211860059	-1.48499844208036	1.7481880270062	1	featureless	5	#FF0000
#00BFFF	-1.53716143185756	-1.44174416865221	1.7481880270062	2	rpart	5	#00BFFF
#FF0000	-1.55001451524756	-1.48646945335041	2	1	featureless	5	#FF0000
#00BFFF	-1.61626019611522	-1.51749639181887	2	2	rpart	5	#00BFFF
#FF0000	-1.55434597801207	-1.49109527824969	2.25042000230889	1	featureless	5	#FF0000
#00BFFF	-1.61794810468373	-1.51943388898252	2.25042000230889	2	rpart	5	#00BFFF
#FF0000	-1.55679279207095	-1.49438228791914	2.4996870826184	1	featureless	5	#FF0000
#00BFFF	-1.63097460719329	-1.533272004787	2.4996870826184	2	rpart	5	#00BFFF
#FF0000	-1.55746388495454	-1.49288355948612	2.74973631556906	1	featureless	5	#FF0000
#00BFFF	-1.65502785055649	-1.5546245780161	2.74973631556906	2	rpart	5	#00BFFF
#FF0000	-1.55771490148811	-1.49332994568854	3	1	featureless	5	#FF0000
#00BFFF	-1.6489938979967	-1.56719113408894	3	2	rpart	5	#00BFFF
#FF0000	-1.59457196163487	-1.48462716065657	1	1	featureless	6	#FF0000
#00BFFF	-1.59457196163487	-1.48462716065657	1	2	rpart	6	#00BFFF
#FF0000	-1.60462168580946	-1.49987835593383	1.25527250510331	1	featureless	6	#FF0000
#00BFFF	-1.60462168580946	-1.49987835593383	1.25527250510331	2	rpart	6	#00BFFF
#FF0000	-1.58627460746553	-1.53146440942618	1.50514997831991	1	featureless	6	#FF0000
#00BFFF	-1.57521104556612	-1.50160371379107	1.50514997831991	2	rpart	6	#00BFFF
#FF0000	-1.59763741648984	-1.5349519271478	1.7481880270062	1	featureless	6	#FF0000
#00BFFF	-1.4981899987706	-1.44256571322635	1.7481880270062	2	rpart	6	#00BFFF
#FF0000	-1.59603554493697	-1.53592949509941	2	1	featureless	6	#FF0000
#00BFFF	-1.49706967252583	-1.43916389630142	2	2	rpart	6	#00BFFF
#FF0000	-1.60099987849498	-1.53153901520872	2.25042000230889	1	featureless	6	#FF0000
#00BFFF	-1.54115269482812	-1.45256258594776	2.25042000230889	2	rpart	6	#00BFFF
#FF0000	-1.60162505733575	-1.52998992229215	2.4996870826184	1	featureless	6	#FF0000
#00BFFF	-1.55682912596803	-1.48210197465022	2.4996870826184	2	rpart	6	#00BFFF
#FF0000	-1.60118985495681	-1.53150791001073	2.74973631556906	1	featureless	6	#FF0000
#00BFFF	-1.59576446163308	-1.52855394996062	2.74973631556906	2	rpart	6	#00BFFF
#FF0000	-1.60155482624738	-1.53176159589328	3	1	featureless	6	#FF0000
#00BFFF	-1.5894555412182	-1.532149981171	3	2	rpart	6	#00BFFF
